,text,intent,labels
6025,Find:O the:O Another:B-object_name Ticket:I-object_name game:B-object_type ," SearchCreativeWork
",5
2257,I:O want:O to:O put:O roberto:B-artist valverde:I-artist into:O my:B-playlist_owner Ultra:B-playlist Metal:I-playlist list:O ," AddToPlaylist
",0
8152,book:O a:O southeastern:B-cuisine restaurant:B-restaurant_type in:O Heard:B-country Island:I-country and:I-country McDonald:I-country Islands:I-country ," BookRestaurant
",1
681,What:O is:O Marty:B-object_name Stuart:I-object_name discography:I-object_name ," SearchCreativeWork
",5
8099,add:O this:O artist:B-music_item to:O FIFA:B-playlist 17:I-playlist Soundtrack:I-playlist ," AddToPlaylist
",0
6993,Go:O to:O cali:B-playlist fire:I-playlist and:O add:O refrain:B-entity_name to:O my:B-playlist_owner playlist:O ," AddToPlaylist
",0
3742,"On:O june:B-timeRange 27,:I-timeRange 2026:I-timeRange I'd:O like:O to:O go:O to:O a:O Delaware:B-state gastropub:B-restaurant_type "," BookRestaurant
",1
378,I:O need:O to:O know:O if:O its:O humid:B-condition_description in:O Greenback:B-city in:O Mongolia:B-country ," GetWeather
",2
6140,I:O want:O to:O hear:O something:O from:O the:O nineties:B-year by:O Alissa:B-artist Musto:I-artist on:O Groove:B-service Shark:I-service ," PlayMusic
",3
3929,What's:O the:O forecast:O for:O East:B-city Sonora:I-city Qatar:B-country ," GetWeather
",2
2565,mark:O The:B-object_name Final:I-object_name Battle:I-object_name score:O two:B-rating_value out:O of:O 6:B-best_rating ," RateBook
",4
8669,book:O a:O restaurant:B-restaurant_type for:O 2:B-party_size_number at:O top-rated:B-sort Hoonah:B-city TN:B-state ," BookRestaurant
",1
3539,book:O The:B-restaurant_name Fry:I-restaurant_name Bread:I-restaurant_name House:I-restaurant_name for:O seven:B-party_size_number in:O Olive:B-city ," BookRestaurant
",1
6056,Tell:O me:O if:O it'll:O blizzard:B-condition_description in:O KS:B-state ," GetWeather
",2
376,Look:O up:O the:O television:B-object_type show:I-object_type called:O Monster:B-object_name Mash:I-object_name ," SearchCreativeWork
",5
8036,Add:O this:O marilyn:B-artist manson:I-artist tune:B-music_item to:O Latin:B-playlist Party:I-playlist Anthems:I-playlist ," AddToPlaylist
",0
3847,I:O want:O to:O listen:O to:O the:O song:B-object_type Only:B-object_name the:I-object_name Greatest:I-object_name ," SearchCreativeWork
",5
3904,"I:O rate:O the:O chronicle:B-object_part_of_series_type ,:O Son:B-object_name of:I-object_name the:I-object_name Tree:I-object_name with:O four:B-rating_value of:O 6:B-best_rating points:B-rating_unit .:O "," RateBook
",4
7145,Play:O some:O music:O from:O the:O thirties:B-year .:O ," PlayMusic
",3
1315,Rate:O The:B-object_name Secret:I-object_name of:I-object_name Dr.:I-object_name Honigberger:I-object_name 2:B-rating_value points:B-rating_unit out:O of:O 6:B-best_rating ," RateBook
",4
2610,Can:O you:O help:O me:O find:O the:O television:B-object_type show:I-object_type Women:B-object_name and:I-object_name Death:I-object_name ," SearchCreativeWork
",5
2059,Book:O Coney:B-restaurant_name Island:I-restaurant_name neighboring:B-spatial_relation VA:B-state for:O marina:B-party_size_description and:I-party_size_description I:I-party_size_description .:O ," BookRestaurant
",1
4918,Book:O me:O a:O reservation:O for:O 10:B-party_size_number in:O Oman:B-country ," BookRestaurant
",1
1723,Add:O some:O Beatmaster:B-artist V:I-artist to:O the:O This:B-playlist Is:I-playlist Nicky:I-playlist Jam:I-playlist playlist.:O ," AddToPlaylist
",0
8746,Play:O Used:B-track To:I-track Love:I-track Her:I-track by:O Dara:B-artist .:O ," PlayMusic
",3
1866,I:O need:O a:O reservation:O for:O ten:B-party_size_number in:O Wisconsin:B-state ," BookRestaurant
",1
3472,rate:O New:B-object_name History:I-object_name of:I-object_name the:I-object_name Five:I-object_name Dynasties:I-object_name 1:B-rating_value points:B-rating_unit ," RateBook
",4
2259,play:O a:O popular:B-sort sort:O of:O fifties:B-year tune:B-music_item music:O ," PlayMusic
",3
3097,play:O the:O video:B-object_type game:I-object_type The:B-object_name Sparrow:I-object_name ," SearchCreativeWork
",5
5116,What:O is:O the:O nearest:B-spatial_relation movie:B-object_location_type theatre:I-object_location_type playing:O Kate:B-movie_name y:I-movie_name Leopold:I-movie_name ?:O ," SearchScreeningEvent
",6
8490,What:O animated:B-movie_type movies:I-movie_type are:O playing:O now:B-timeRange in:B-spatial_relation the:I-spatial_relation neighborhood:I-spatial_relation ," SearchScreeningEvent
",6
1773,I:O have:O a:O party:O of:O four:B-party_size_number in:O Japan:B-country and:O need:O a:O reservation:O at:O Rimsky-Korsakoffee:B-restaurant_name House:I-restaurant_name on:O Aug.:B-timeRange the:I-timeRange 3rd:I-timeRange .:O ," BookRestaurant
",1
1920,I:O want:O a:O table:O for:O eight:B-party_size_number in:O Yakima:B-city Rhode:B-state Island:I-state ," BookRestaurant
",1
5624,Where:O can:O I:O find:O the:O JKT48:B-object_name School:I-object_name ," SearchCreativeWork
",5
9039,play:O the:O song:B-music_item Si:B-track No:I-track Te:I-track Hubiera:I-track Conocido:I-track by:O Haidar:B-artist Salim:I-artist ," PlayMusic
",3
7600,I:O want:O to:O hear:O Sebastian:B-artist 's:O songs:O from:O the:O thirties:B-year on:O Youtube:B-service ," PlayMusic
",3
81,Add:O irving:B-artist berlin:I-artist to:O my:B-playlist_owner dishwashing:B-playlist ," AddToPlaylist
",0
5814,Find:O a:O game:B-object_type called:O The:B-object_name Life:I-object_name and:I-object_name Loves:I-object_name of:I-object_name Tschaikovsky:I-object_name .:O ," SearchCreativeWork
",5
8931,"Book:O a:O reservation:O for:O The:B-restaurant_name Training:I-restaurant_name Table:I-restaurant_name on:O Mar.:B-timeRange thirteenth,:I-timeRange 2026:I-timeRange "," BookRestaurant
",1
4173,I'd:O like:O to:O eat:O a:O restaurant:B-restaurant_type in:O or:O nearby:B-spatial_relation Pelahatchie:B-city at:O 12:B-timeRange o'clock:I-timeRange ," BookRestaurant
",1
8010,Search:O for:O Big:B-object_name Ideas:I-object_name painting:B-object_type ," SearchCreativeWork
",5
851,"Rate:O The:B-object_name Astonishing:I-object_name Life:I-object_name of:I-object_name Octavian:I-object_name Nothing,:I-object_name Traitor:I-object_name to:I-object_name the:I-object_name Nation,:I-object_name Volume:I-object_name II::I-object_name The:I-object_name Kingdom:I-object_name on:I-object_name the:I-object_name Waves:I-object_name series:B-object_part_of_series_type 2:B-rating_value points:B-rating_unit "," RateBook
",4
6769,Will:O it:O storm:B-condition_description in:O Kinder:B-city Russia:B-country ," GetWeather
",2
4829,book:O a:O spot:O at:O a:O steakhouse:B-restaurant_type with:O internet:B-facility ," BookRestaurant
",1
7090,Find:O Trust:B-object_name in:I-object_name the:I-object_name Lord:I-object_name –:I-object_name Live:I-object_name Worship:I-object_name with:I-object_name Don:I-object_name Moen:I-object_name .:O ," SearchCreativeWork
",5
1403,add:O this:O tune:B-music_item to:O the:O Deep:B-playlist Dark:I-playlist Indie:I-playlist Folk:I-playlist playlist:O ," AddToPlaylist
",0
3653,is:O there:O a:O Chinese:B-object_name Wikipedia:I-object_name ," SearchCreativeWork
",5
468,Where:O can:O I:O watch:O the:O television:B-object_type show:I-object_type You:B-object_name Make:I-object_name Me:I-object_name Hate:I-object_name Music:I-object_name ," SearchCreativeWork
",5
459,find:O the:O closest:B-spatial_relation showing:O of:O The:B-movie_name Taste:I-movie_name of:I-movie_name Others:I-movie_name at:O a:O cinema:B-object_location_type ," SearchScreeningEvent
",6
7436,play:O music:O by:O Rodney:B-artist Whitaker:I-artist ," PlayMusic
",3
1047,Add:O la:B-entity_name jaula:I-entity_name de:I-entity_name oro:I-entity_name to:O my:B-playlist_owner Evening:B-playlist Commute:I-playlist playlist:O ," AddToPlaylist
",0
8112,"When:O will:O it:O be:O warmer:B-condition_temperature in:O White:B-city Horse:I-city ,:O Mauritius:B-country "," GetWeather
",2
5705,this:B-object_select book:B-object_type gets:O a:O 1:B-rating_value out:O of:O 6:B-best_rating rating:O from:O me.:O ," RateBook
",4
2814,Add:O Roots:B-entity_name of:I-entity_name the:I-entity_name Outsiders:I-entity_name to:O Blues:B-playlist Roots:I-playlist ," AddToPlaylist
",0
4941,Can:O you:O play:O some:O music:O by:O andrew:B-artist diamond:I-artist ," PlayMusic
",3
6525,Play:O the:O last:O Wellman:B-artist Braud:I-artist album:B-music_item relaesd:O ," PlayMusic
",3
5726,Please:O get:O me:O the:O Before:B-object_name Crisis::I-object_name Final:I-object_name Fantasy:I-object_name VII:I-object_name television:B-object_type show:I-object_type .:O ," SearchCreativeWork
",5
184,Where:O is:O Chips:B-restaurant_name in:O Crouch:B-city ," BookRestaurant
",1
4856,I:O want:O to:O watch:O Fist:B-movie_name of:I-movie_name the:I-movie_name North:I-movie_name Star:I-movie_name 1:B-timeRange minute:I-timeRange from:I-timeRange now:I-timeRange ," SearchScreeningEvent
",6
3479,Add:O Nicole:B-artist Mitchell:I-artist to:O my:B-playlist_owner Soul:B-playlist Revived:I-playlist list:O ," AddToPlaylist
",0
4018,find:O movie:B-object_type schedule:I-object_type in:O Pacific:B-location_name Theatres:I-location_name ," SearchScreeningEvent
",6
1679,Find:O Make:B-object_name Your:I-object_name Play:I-object_name ," SearchCreativeWork
",5
5215,I'd:O like:O to:O eat:O with:O a:O party:O of:O nine:B-party_size_number in:O Snapfinger:B-city PA:B-state ," BookRestaurant
",1
1952,find:O Cinemark:B-location_name Theatres:I-location_name with:O films:B-movie_type ," SearchScreeningEvent
",6
275,What:O animated:B-movie_type movies:I-movie_type are:O playing:O in:B-timeRange thirteen:I-timeRange hours:I-timeRange at:O the:O closest:B-spatial_relation movie:B-object_location_type theatre:I-object_location_type ," SearchScreeningEvent
",6
707,is:O Agnew:B-city United:B-country States:I-country has:O chilly:B-condition_temperature weather:O ," GetWeather
",2
2437,I:O want:O to:O see:O movie:B-object_type schedules:I-object_type at:O Plitt:B-location_name Theatres:I-location_name .:O ," SearchScreeningEvent
",6
1404,Rate:O this:O current:B-object_select essay:B-object_type 1:B-rating_value out:O of:O 6:B-best_rating points:B-rating_unit ," RateBook
",4
1541,What:O animated:B-movie_type movies:I-movie_type are:O playing:O at:O Dipson:B-location_name Theatres:I-location_name ?:O ," SearchScreeningEvent
",6
3597,Will:O it:O be:O warm:B-condition_temperature in:O Hematite:B-city ?:O ," GetWeather
",2
3397,I:O want:O to:O rate:O the:O current:B-object_select chronicle:B-object_part_of_series_type a:O two:B-rating_value ," RateBook
",4
3636,"find:O Blood:B-object_name Moon::I-object_name Year:I-object_name of:I-object_name the:I-object_name Wolf:I-object_name ,:O a:O movie:B-object_type "," SearchCreativeWork
",5
6596,Let:O me:O know:O how:O the:O weather:O will:O be:O in:O Rainelle:B-city at:O night:B-timeRange .:O ," GetWeather
",2
7018,I:O need:O to:O book:O a:O pub:B-restaurant_type in:O Cammack:B-city Village:I-city Wyoming:B-state for:O a:O party:O of:O seven:B-party_size_number ," BookRestaurant
",1
1672,find:O Dickinson:B-location_name Theatres:I-location_name showing:O From:B-movie_name Bondage:I-movie_name to:I-movie_name Freedom:I-movie_name ," SearchScreeningEvent
",6
3540,Will:O it:O be:O colder:B-condition_temperature in:O Åland:B-country ," GetWeather
",2
5153,Rate:O An:B-object_name Act:I-object_name of:I-object_name Terror:I-object_name 2:B-rating_value stars:B-rating_unit .:O ," RateBook
",4
1650,Play:O a:O Mike:B-artist Osborne:I-artist song:B-music_item ," PlayMusic
",3
6808,put:O this:O Kes:B-artist song:B-music_item on:O the:O feel:B-playlist good:I-playlist indie:I-playlist rock:I-playlist playlist:O ," AddToPlaylist
",0
6580,find:O a:O TV:B-object_type show:I-object_type called:O Engaged:B-object_name to:I-object_name the:I-object_name Unidentified:I-object_name ," SearchCreativeWork
",5
3160,What:O time:O is:O Hitman:B-movie_name City:I-movie_name playing:O ," SearchScreeningEvent
",6
432,Play:O Leanne:B-artist Dobinson:I-artist Right:B-track To:I-track Dream:I-track ," PlayMusic
",3
2907,Will:O it:O be:O stormy:B-condition_description in:O distant:B-spatial_relation Holly:B-geographic_poi River:I-geographic_poi State:I-geographic_poi Park:I-geographic_poi ," GetWeather
",2
2275,what:O time:O is:O The:B-movie_name Rocketeer:I-movie_name showing:O ," SearchScreeningEvent
",6
799,Add:O a:O song:B-music_item to:O ultimate:B-playlist indie:I-playlist ," AddToPlaylist
",0
5794,add:O erik:B-artist santos:I-artist in:O my:B-playlist_owner playlist:O Metal:B-playlist Xplorer:I-playlist ," AddToPlaylist
",0
1398,Play:O Kisaki:B-artist on:O Pandora:B-service ," PlayMusic
",3
5591,I:O want:O a:O photograph:B-object_type of:O Elizabeth:B-object_name the:I-object_name Queen:I-object_name ," SearchCreativeWork
",5
6280,Will:O it:O get:O hotter:B-condition_temperature far:B-spatial_relation away:O in:O Afghanistan:B-country ?:O ," GetWeather
",2
4973,I'm:O looking:O for:O the:O show:B-object_type Pulse:B-object_name 2::I-object_name Afterlife:I-object_name ," SearchCreativeWork
",5
3495,What's:O the:O weather:O in:O the:O Marshall:B-country Islands:I-country in:B-timeRange sixteen:I-timeRange hours:I-timeRange ," GetWeather
",2
6948,show:O creativity:O Cum:B-object_name On:I-object_name Feel:I-object_name the:I-object_name Noize:I-object_name the:O video:B-object_type game:I-object_type ," SearchCreativeWork
",5
5192,I:O would:O like:O to:O book:O a:O goan:B-cuisine restaurant:B-restaurant_type for:O 8:B-party_size_number ," BookRestaurant
",1
4720,I:O wish:O to:O add:O this:O album:B-music_item to:O the:O dinner:B-playlist playlist:O ," AddToPlaylist
",0
5424,The:O book:B-object_type History:B-object_name by:I-object_name Contract:I-object_name is:O rated:O five:B-rating_value stars:B-rating_unit in:O my:O opinion.:O ," RateBook
",4
2647,Tell:O me:O the:O weather:O forecast:O in:B-timeRange 4:I-timeRange years:I-timeRange and:I-timeRange a:I-timeRange half:I-timeRange in:O GA:B-state ," GetWeather
",2
6224,whats:O the:O weather:O forecast:O in:O Nicaragua:B-country ," GetWeather
",2
6574,I:O need:O a:O reservation:O for:O four:B-party_size_number at:O a:O bar:B-restaurant_type ," BookRestaurant
",1
5364,Can:O you:O please:O find:O me:O The:B-object_name Biggest:I-object_name Loser:I-object_name Brunei::I-object_name The:I-object_name Spirit:I-object_name of:I-object_name Life:I-object_name photograph:B-object_type ?:O ," SearchCreativeWork
",5
3737,rate:O the:O current:B-object_select essay:B-object_type 2:B-rating_value stars:B-rating_unit ," RateBook
",4
5303,I:O need:O to:O book:O a:O restaurant:B-restaurant_type at:O supper:B-timeRange time:O in:O IL:B-state ," BookRestaurant
",1
6662,Give:O me:O an:O album:B-music_item from:O 1972:B-year to:O listen:O to.:O ," PlayMusic
",3
717,Do:O you:O know:O of:O a:O song:B-object_type by:O the:O Mande:B-object_name Studies:I-object_name Association:I-object_name ?:O ," SearchCreativeWork
",5
4357,Find:O the:O movie:B-object_type schedule:I-object_type at:O Malco:B-location_name Theatres:I-location_name .:O ," SearchScreeningEvent
",6
8138,add:O this:O album:B-music_item to:O rock:B-playlist en:I-playlist español:I-playlist ," AddToPlaylist
",0
2366,I:O give:O the:O current:B-object_select essay:B-object_type a:O two:B-rating_value ," RateBook
",4
1168,I:O want:O to:O book:O a:O restaurant:O in:B-timeRange 40:I-timeRange weeks:I-timeRange in:O Iowa:B-state .:O ," GetWeather
",2
2807,Add:O the:O tune:B-music_item to:O my:B-playlist_owner Epic:B-playlist Classical:I-playlist playlist.:O ," AddToPlaylist
",0
7843,I:O want:O a:O table:O for:O 2:B-party_size_number at:O a:O restaurant:B-restaurant_type late:O at:O night:B-timeRange .:O ," BookRestaurant
",1
7446,play:O the:O television:B-object_type show:I-object_type Tears:B-object_name Laid:I-object_name in:I-object_name Earth:I-object_name ," SearchCreativeWork
",5
5274,What:O are:O the:O movie:B-object_type schedules:I-object_type ," SearchScreeningEvent
",6
7639,play:O the:O Gary:B-artist Chaw:I-artist album:B-music_item ," PlayMusic
",3
8949,Find:O an:O album:B-object_type called:O The:B-object_name Aboriginal:I-object_name Port:I-object_name Folio:I-object_name .:O ," SearchCreativeWork
",5
838,show:O movie:B-object_type schedules:I-object_type at:O Megaplex:B-location_name Theatres:I-location_name ," SearchScreeningEvent
",6
5350,when:O can:O i:O see:O We:B-movie_name and:I-movie_name Our:I-movie_name Mountains:I-movie_name ," SearchScreeningEvent
",6
7955,Book:O a:O restaurant:B-restaurant_type for:O a:O party:O of:O 7:B-party_size_number in:O Paraguay:B-country on:O Saturday:B-timeRange ," BookRestaurant
",1
2878,Find:O a:O video:B-object_type game:I-object_type called:O Merry:B-object_name Andrew:I-object_name .:O ," SearchCreativeWork
",5
6544,I:O want:O to:O book:O a:O churrascaria:B-restaurant_type restaurant:O for:O ten:B-party_size_number people.:O ," BookRestaurant
",1
3342,was:O the:O weather:O colder:B-condition_temperature last:B-timeRange August:I-timeRange at:O Stunt:B-geographic_poi Ranch:I-geographic_poi Santa:I-geographic_poi Monica:I-geographic_poi Mountains:I-geographic_poi Reserve:I-geographic_poi ," GetWeather
",2
300,What:O will:O the:O weather:O be:O like:O 1:B-timeRange second:I-timeRange from:I-timeRange now:I-timeRange in:O Pugu:B-geographic_poi Hills:I-geographic_poi Forest:I-geographic_poi Reserve:I-geographic_poi ," GetWeather
",2
165,Add:O this:O artist:B-music_item to:O Reggae:B-playlist Classics:I-playlist playlist:O ," AddToPlaylist
",0
2991,book:O a:O table:O for:O me:B-party_size_description and:I-party_size_description belinda:I-party_size_description serving:O minestra:B-served_dish in:O a:O bar:B-restaurant_type ," BookRestaurant
",1
8646,Make:O a:O restaurant:B-restaurant_type reservation:O for:O me:B-party_size_description and:I-party_size_description my:I-party_size_description son:I-party_size_description at:O twenty:B-timeRange three:I-timeRange o'clock:I-timeRange .:O ," BookRestaurant
",1
6509,play:O Victoria:B-artist Banks:I-artist 's:O album:B-music_item ," PlayMusic
",3
98,rate:O Mandela::B-object_name The:I-object_name Authorised:I-object_name Biography:I-object_name a:O one:B-rating_value ," RateBook
",4
5730,book:O a:O restaurant:B-restaurant_type for:O one:B-party_size_number ," BookRestaurant
",1
1138,Rate:O this:B-object_select chronicle:B-object_part_of_series_type three:B-rating_value of:O 6:B-best_rating stars:B-rating_unit ," RateBook
",4
7385,I:O need:O a:O booking:O for:O seven:B-party_size_number people:O at:O Metropolitan:B-restaurant_name Museum:I-restaurant_name of:I-restaurant_name Art:I-restaurant_name .:O ," BookRestaurant
",1
3512,Rate:O my:O current:B-object_select novel:B-object_type 3:B-rating_value out:O of:O 6:B-best_rating ," RateBook
",4
6846,What:O is:O the:O weather:O for:O my:O current:B-current_location place:I-current_location ," GetWeather
",2
3456,play:O Wow:B-track by:O Jon:B-artist Theodore:I-artist ," PlayMusic
",3
3499,Please:O book:O reservations:O for:O 3:B-party_size_number people:O at:O a:O restaurant:B-restaurant_type in:O Alderwood:B-city Manor:I-city ," BookRestaurant
",1
8747,What:O are:O the:O local:O movie:B-object_type times:I-object_type ," SearchScreeningEvent
",6
3416,look:O for:O the:O creative:O work:O The:B-object_name Testament:I-object_name of:I-object_name Gideon:I-object_name Mack:I-object_name ," SearchCreativeWork
",5
7185,Book:O the:O Dunbrody:B-restaurant_name Country:I-restaurant_name House:I-restaurant_name Hotel:I-restaurant_name in:O NE:B-state for:O 8:B-party_size_number people.:O ," BookRestaurant
",1
8973,add:O hopeful:B-entity_name to:O my:B-playlist_owner this:B-playlist is:I-playlist enrique:I-playlist iglesias:I-playlist ," AddToPlaylist
",0
581,put:O A:B-artist L:I-artist Lloyd:I-artist on:O gaming:B-playlist anthems:I-playlist ," AddToPlaylist
",0
4448,What:O will:O the:O weather:O be:O in:O Deer:B-city River:I-city ?:O ," GetWeather
",2
5240,Can:O I:O listen:O to:O music:O from:O the:O Easy:B-genre Listening:I-genre genre?:O ," PlayMusic
",3
6751,Play:O my:O funtime:B-playlist playlist:O on:O lastfm:B-service .:O ," PlayMusic
",3
1601,I'd:O like:O to:O hear:O chant:B-music_item songs:O from:O nineties:B-year ," PlayMusic
",3
4430,put:O coming:B-entity_name back:I-entity_name to:I-entity_name life:I-entity_name onto:O winter:B-playlist music:I-playlist ," AddToPlaylist
",0
8016,what:O movies:B-movie_type are:O close:B-spatial_relation by:I-spatial_relation ," SearchScreeningEvent
",6
7319,I:O think:O this:B-object_select essay:B-object_type is:O only:O good:O for:O one:B-rating_value stars:B-rating_unit ," RateBook
",4
2015,find:O a:O TV:B-object_type show:I-object_type called:O Perfect:B-object_name Chemistry:I-object_name ," SearchCreativeWork
",5
2414,Add:O naseer:B-artist shamma:I-artist to:O piano:B-playlist chill:I-playlist ," AddToPlaylist
",0
1145,I:O need:O to:O find:O the:O So:B-object_name Nice:I-object_name soundtrack:B-object_type ," SearchCreativeWork
",5
569,Book:O a:O table:O at:O T-Rex:B-restaurant_name in:B-timeRange one:I-timeRange minute:I-timeRange in:O Osierfield:B-city ," BookRestaurant
",1
1267,add:O a:O tune:B-music_item in:O women:B-playlist of:I-playlist classical:I-playlist ," AddToPlaylist
",0
3854,Find:O a:O TV:B-object_type show:I-object_type called:O The:B-object_name Ambient:I-object_name Collection:I-object_name .:O ," SearchCreativeWork
",5
8412,Play:O me:O a:O song:B-music_item on:O Pandora:B-service ," PlayMusic
",3
7146,find:O Boyish:B-object_name Story:I-object_name ," SearchCreativeWork
",5
